Date,Time,Beyond TPW Gradient,Quadrant Relative to Convection,Case,Primary Convective Type,Region,500m Bottom Cap Deep Layer Speed Shear [kts],500m Bottom Cap Deep Layer Directional Shear [deg],500m Wind Speed [kts],500m Wind Direction [deg],Upper Level Cap Wind Speed [kts],Upper Level Cap Wind Direction [deg],DAWN PBL Speed Shear [kts],DAWN PBL Directional Shear [deg],DAWN Mid Layer Speed Shear [kts],DAWN Mid Layer Directional Shear [deg],DAWN Upper Layer Speed Shear [kts],DAWN Upper Layer Directional Shear [deg],500m Bottom Cap Profile Height [m],Upper Level Cap Height [m],Environment Falling In,Environment Falling In Ambiguous,Convective Lifecycle
20170611,174706,,Southeast,13,Organized,Gulf,18.7,290.97,22.15,146.11,12.76,203.62,--,--,--,--,--,--,525.05,7637.6,Clear Near,--,--
20170611,175039,,Southeast,13,Organized,Gulf,21.59,282.29,18.72,142.2,14.02,223.35,--,--,--,--,--,--,499.19,7606.1,Clear Near,--,--
20170611,175122,,Southeast,13,Organized,Gulf,19.97,277.8,18.51,139.69,13.82,214.39,--,--,--,--,--,--,513.73,7634.1,Clear Near,--,--
20170611,175204,,Southeast,13,Organized,Gulf,22.57,287.89,22.98,140.43,12.77,212.41,--,--,--,--,--,--,490.06,7635.4,Clear Near,--,--
20170611,175247,,Southeast,13,Organized,Gulf,22.26,277.1,18.33,133.26,13.14,221.7,--,--,--,--,--,--,485.16,7633.6,Clear Near,--,--
20170611,175330,,Southeast,13,Organized,Gulf,20.14,278.45,17.82,138.33,13.13,217.94,--,--,--,--,--,--,499.61,7636.6,Clear Near,--,--
20170611,175412,,Southeast,13,Organized,Gulf,22.96,282.61,20.54,140.34,14.25,220.7,--,--,--,--,--,--,500.53,7637.3,Clear Near,--,--
20170611,175455,,Southeast,13,Organized,Gulf,23.72,287.29,20.14,141.96,13.51,229.28,--,--,--,--,--,--,516.25,7633.8,Clear Near,--,--
20170611,175538,,Southeast,13,Organized,Gulf,23.15,273.44,17.34,131.22,14.22,225.08,--,--,--,--,--,--,483.49,7633.7,Clear Near,--,--
20170611,175829,,Southeast,13,Organized,Gulf,21.4,286.85,19.78,151.55,15.73,224.66,--,--,--,--,--,--,510.62,7623.5,Clear Near,--,--
20170611,175912,,Southeast,13,Organized,Gulf,16.25,279.5,19.49,159.13,17.99,210.31,--,--,--,--,--,--,515.98,7597.9,Clear Near,--,--
20170611,180037,,Southeast,13,Organized,Gulf,17.97,267.66,17.53,155.69,19.86,212.73,--,--,--,--,--,--,488.57,7626,Clear Near,--,--
20170611,180743,,Southwest,13,Organized,Gulf,11.24,305.76,15.92,187.2,14.44,230.33,--,--,--,--,--,--,484.19,7622.8,Clear Near,--,--
20170611,180952,Yes,Southwest,13,Organized,Gulf,15.21,266.65,11.43,161.09,16.39,224.43,--,--,--,--,--,--,511.93,7617.3,Clear Near,--,--
20170611,181034,Yes,Southwest,13,Organized,Gulf,15.99,259.1,7.95,163.98,17.22,231.7,--,--,--,--,--,--,506.31,7617.5,Clear Near,--,--
20170611,181200,Yes,Southwest,13,Organized,Gulf,17.28,244.97,7.93,158.14,19.41,220.9,--,--,--,--,--,--,507.67,7615.1,Clear Near,--,--
20170611,181242,Yes,Southwest,13,Organized,Gulf,15.4,258.28,12.58,166.87,19.65,218.47,--,--,--,--,--,--,516.07,7615.2,Clear Near,--,--
20170611,181325,Yes,Southwest,13,Organized,Gulf,14.71,261,7.66,167.02,16.11,232.69,--,--,--,--,--,--,493.47,7616.3,Clear Near,--,--
20170611,181616,Yes,Southwest,13,Organized,Gulf,21.27,253.01,4.89,122.53,18.47,241.39,--,--,--,--,--,--,489.17,7614.4,Clear Near,--,--
20170611,181659,Yes,Southwest,13,Organized,Gulf,22.62,242.8,4.1,103.99,19.72,234.93,--,--,--,--,--,--,492.13,7613.9,Clear Near,--,--
20170611,181741,Yes,Southwest,13,Organized,Gulf,21.05,251.01,4.61,96.41,17,244.33,--,--,--,--,--,--,497.65,7607.6,Clear Near,--,--
20170611,181952,Yes,Southwest,13,Organized,Gulf,21.24,259.09,4.97,102.75,16.81,252.28,--,--,--,--,--,--,504.45,7608,Clear Near,--,--
