Date,Time,Low-level Inflow Sonde,Mid-level Inflow Sonde,Beyond TPW Gradient,Jet Region (800-650mb) Average Dewpoint Depression,Jet Max Speed [m/s],Jet Core Pressure [mb],Quadrant Relative to Convection,Case,Primary Convective Type,Convective Lifecycle,Echo Type,Environment Falling In,Env't Falling In Notes,Environment Falling In Ambiguous,Region,Associated with a TC,Primary Convective Propagation,Environment Relative to Convective Pass,Direction Relative to Convection,Sfc Pressure [mb],Sfc Height [m],PBL Top [mb],PBL Top Height [m],Freezing Level [mb],Freezing Level Height [m],Upper Level Cap [mb],Upper Level Cap Height [m],M10 Celsius Level [mb],M20 Celsius Level [mb],M30 Celsius Level [mb],PBL RH [%],Mid Layer RH [%],Upper Layer RH [%],Deep Layer RH [%],Below FZL MUCAPE [J/kg],Above FZL MUCAPE [J/kg],Deep Layer MUCAPE [J/kg],MU CIN [J/kg],MU LCL [mb],MU EL [mb],MU Max LI [degC],MU Max LI Level [mb],MU Max LI Layer,Below FZL MLCAPE [J/kg],Above FZL MLCAPE [J/kg],Deep Layer MLCAPE [J/kg],ML CIN [J/kg],ML LCL [mb],ML EL [mb],ML Max LI [degC],ML Max LI Level [mb],ML Max LI Layer,SHARPpy Direct Method PBL Speed Shear [kts],SHARPpy Direct Method PBL Directional Shear [deg],SHARPpy Direct Method Mid Layer Speed Shear [kts],SHARPpy Direct Method Mid Layer Directional Shear [deg],SHARPpy Direct Method Upper Layer Speed Shear [kts],SHARPpy Direct Method Upper Layer Directional Shear [deg],SHARPpy Direct Method Deep Layer Speed Shear [kts],SHARPpy Direct Method Deep Layer Directional Shear [deg],10mb Interval Theta Gradient PBL Top [mb],10mb Interval Theta Gradient PBL RH [%],10mb Interval Theta Gradient Mid Layer RH [%],Max Profile Height [m],500m Bottom Cap Profile Height [m],500m Bottom Cap Deep Layer Speed Shear [kts],500m Bottom Cap Deep Layer Directional Shear [deg]
20170611,180016,Yes,Yes,,,,,Southeast,13,Organized,Growing,Convective,Clear Near,,,Gulf,No,,,,1006.2,57.8,956.6,505.9,544.3,5245.4,402.7,7612.1,427.2,362,--,92.1,74.4,51,68.1,607,570.2,1177.2,0,980,--,--,--,,374.9,388.2,763.1,-8.2,938.8,--,0.92,938.7,,5.36,226.6,6.88,327.6,15.35,247.7,22.07,260.9,,,,9079.5,505.9,17.9,270.6
20170611,180620,No,Yes,,,,,Southwest,13,Organized,Growing,Convective,Clear Near,,,Gulf,No,Eastward,Unclear,West,987,233.8,946.3,606.3,548,5190.5,403.2,7609.4,424,357.1,--,87.2,72.3,43.4,64.8,414.1,400.3,814.4,-2.3,949.5,--,0.47,949.2,,240.8,255.1,495.9,-2.1,914,--,0.34,913.4,,5.6,146.5,10.35,320.4,11.09,273,14.92,285.1,,,,8804,503.5,18.72,295.2
20170611,181534,No,No,Yes,6.34,14.99,692.7,Southwest,13,Organized,Growing,Convective,Clear Near,,,Gulf,No,,,,998.7,109.8,939.8,647.3,537.9,5326.7,401.9,7619.7,428.9,357.1,--,89.2,59.6,43.6,57.9,449.9,421.5,871.4,-0.1,963.3,--,0.08,963.2,,161.3,202.9,364.2,-3.5,917.9,--,-1.08,871.7,,8.49,164.1,9.86,237.8,14.24,280.2,22.89,241.1,,,,8793.3,497.9,22.13,257.3
20170611,181950,No,No,Yes,6.85,16.4,702.4,Southwest,13,Organized,Growing,Convective,Clear Near,,,Gulf,No,,,,1001.3,83.4,947.7,570.1,537.6,5331.5,401.4,7620.8,432.5,358.1,--,88.8,60.2,39.4,56.7,444.8,432.8,877.6,-0.1,965.6,--,0.1,965.6,,178.3,228.4,406.7,-6.1,920.2,--,0.64,920,,12.13,192,9.59,215.9,18.06,277.5,31.65,236,,,,9054.2,487,24.92,247.1
20170611,182749,No,Yes,,,,,Southwest,13,Organized,Growing,Convective,Clear Near,,,Gulf,No,,,,,,,,537.2,5339.8,401.8,7619.1,430.6,356.9,--,,,46.5,,,,,,,,,,,,,,,,,,,,,,,,11.19,249.7,,,,,,8995.4,,,
20170611,185332,No,No,Yes,6.05,14.95,708.3,Southwest,13,Organized,Mature,Convective,Clear Near,,,Gulf,No,,,,1006.5,46.7,987.6,214.8,551.8,5119.2,401.6,7614.8,433.3,358.2,--,82.9,66.6,32.8,57.2,231.6,316.3,547.9,-24.9,965.7,--,-0.01,884.9,,96.2,179.8,276,-29.3,910,--,-0.66,838.3,,7.18,341.1,17.1,211.5,7.07,277.8,19.24,251.7,,,,9033.8,496.7,16.68,229.2
20170611,185925,No,No,Yes,3.31,13.01,701.9,Southwest,13,Organized,Mature,Convective,Clear Near,,,Gulf,No,Eastward,Unclear,West,999.9,111.2,988.1,216.2,564.3,4939.1,401.2,7620.4,443,360.6,--,84.9,79.1,34,64.5,129.3,324.3,453.5,-35.3,935.9,--,-0.16,769.8,,83.5,252.7,336.2,-50.3,906.4,--,-0.06,861.4,,1.79,319.4,15.93,226,14.26,297.6,25.81,263.5,,,,8928.9,497.6,24.16,243.2
20170611,191804,Yes,Yes,,,,,Southeast,13,Organized,Mature,Convective,In Cloud,,,Gulf,No,,,,990.8,194.8,954,529.4,565.6,4928.1,400.9,7621.2,448.8,361.2,--,86.2,78.8,66.8,74.8,391.2,574.7,965.9,-5.1,956.2,--,-0.07,865.7,,154.1,289.4,443.4,-46.8,891.5,--,-0.27,790.5,,4.92,225.2,17.53,301.4,18.9,200.5,28.16,243.8,,,,9042.6,500.8,24.33,246.9
20170611,192343,Yes,Yes,,,,,Northeast,13,Organized,Mature,Stratiform,In Cloud,,,Gulf,No,Eastward,Before,East,1000.1,125.8,956.7,518.5,551.5,5137.1,401.9,7609.6,464.6,360.7,--,92.2,84.1,76.9,82.4,639.1,710.1,1349.2,0,979.1,--,--,--,,357.4,457.3,814.7,-22.3,922.7,--,0.92,921,,8.72,203.7,23.65,284.3,8.58,184,28.71,248.1,,,,8965.7,508.4,23.9,263
20170611,192847,No,No,,,,,Northeast,13,Organized,Mature,Stratiform,In Precip,,,Gulf,No,,,,1008.9,38.9,993,179.9,583.3,4669,400.3,7621.9,452.6,361.9,--,82.2,87.2,80.9,84.8,495.6,705,1200.7,-3.8,955.5,--,-1.31,911.2,,309.1,486.9,796,-14.7,926.3,--,0.45,924.5,,5.73,151.6,16.25,312,19.68,249.8,28.01,268.1,,,,8984.2,502.2,25.22,288.5
